timestamp,vk_time,verifier_time,witness_time,proof_time,total_time,proof_size_bytes,proof_size_kb,vk_size_kb,witness_size_kb,verifier_size_kb
2026-01-15 15:44:05,.938,.021,.921,4.009,5.889,8640,8.43,1.84,13.09,96.17
2026-01-16 13:43:23,.150,.004,.206,.586,.946,8640,8.43,1.84,13.09,96.17
2026-01-18 17:41:51,.185,.005,.208,.607,1.005,8640,8.43,1.84,13.09,96.17
